"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TWF2",928.436159972678,-0.601968483710006,0.0916473609219188,-6.56831225312497,5.088874199304e-11,5.88619078079425e-10
"C11orf58",3592.5560057998,0.462859312147215,0.0831267678888166,5.56811390485309,2.57511475770679e-08,1.64544832794634e-07
"GIMAP4",628.494578865311,-0.498109837141431,0.149707139935908,-3.32722832962196,0.000877144699954283,0.00207550429398183
"GIMAP5",282.304888082661,-0.775795970668005,0.182957930933553,-4.24029702735193,2.23224205438347e-05,7.58466756888219e-05
"GIMAP7",225.695586897027,-0.618982903557989,0.186841795677203,-3.31287173362095,0.000923433192130393,0.0021760027046209
"GIMAP1",88.3507221662509,-0.72734552055276,0.191727415355737,-3.79364379999188,0.000148452592670125,0.000419691038942624
"SCUBE2",7193.36516446511,2.32403445182485,0.364670073368621,6.37297826596161,1.85392166472201e-10,1.89907944534909e-09
"CUX1",1430.71207321834,0.322707787324326,0.112011212101724,2.88103111527135,0.00396376508046137,0.00803929734269847
"WARS",3195.20471334086,-0.921265063593648,0.138119067824359,-6.67007878133948,2.55666144797909e-11,3.16290739095383e-10
"ZNF233",64.2723815628186,0.51650003004036,0.174913737687235,2.95288430096851,0.00314819933873583,0.00656003607658378
"RHBDF2",574.517323725342,-0.961218077301448,0.115774229937677,-8.30252188089603,1.01924371483022e-16,3.94971768721479e-15
"ZNF750",174.153487989593,-0.827000910917152,0.223395436313436,-3.70195973814266,0.000213940573434291,0.000580758871543736
"RPSAP58",7323.47452925525,-0.448250533875581,0.120501400168528,-3.71987821924624,0.000199318860987484,0.000545454088810448
"EARS2",1017.97614258465,0.300977343837873,0.103580735935966,2.90572702653839,0.00366400940982434,0.00750067742791879
"POLA2",492.245902327237,-0.619350776807171,0.105498879961611,-5.87068580284966,4.33996083249615e-09,3.30786939421812e-08
"RPP30",439.059198760836,-0.231980557589886,0.0759507165351389,-3.05435640600651,0.00225543957481116,0.00487813853487336
"TBX3",2338.9932215052,1.13247470647797,0.22092667083806,5.12602078410022,2.95929952508048e-07,1.49709938182956e-06
"FBXO2",294.180806792452,-1.1358742587845,0.302267652686519,-3.75784258980073,0.000171384633424143,0.000477287425389252
"FBXO3",828.586683393474,0.696796449230379,0.0793311762764749,8.78338733818837,1.58623758641837e-18,9.80265039907277e-17
"CTNND1",8937.89269865432,0.369156407340938,0.0835440971583776,4.41870125954099,9.92957876865945e-06,3.6519431498146e-05
"FBXO8",462.101690427122,0.523634909134329,0.0760468905747911,6.88568467660543,5.75102522721797e-12,7.9601204065058e-11
"A2M",14224.6110495244,0.372827882701773,0.166110708494341,2.24445423224761,0.0248031905106669,0.0415638951867483
"C18orf21",256.768655766158,-0.653528230437073,0.0881661333084949,-7.41246333385593,1.23974738528071e-13,2.42118617692136e-12
"C18orf25",737.07589106027,0.294867837916602,0.0891326803626147,3.30818995588378,0.000939010943180464,0.00221033638145287
"ZMYND15",47.9115778683493,-0.652487473522029,0.161795086856462,-4.0328015281508,5.51158268838595e-05,0.000172448212329984
"NAV3",140.931098562332,1.59309467669992,0.23421440860675,6.80186452309498,1.03273696716288e-11,1.36485107417319e-10
"TRUB1",681.87120692472,0.68697653854407,0.0966311646125169,7.10926481429455,1.16662714725259e-12,1.8958411283069e-11
"C1orf9",2787.5077799162,0.614791262341559,0.121151063003804,5.07458413569395,3.88344375180749e-07,1.92244340372478e-06
"TRUB2",773.983188262912,-0.261049645754699,0.0923298449177942,-2.82735930063701,0.00469336349842971,0.00934201477844099
"NT5DC2",917.99779831428,-1.4256938494715,0.15433982039315,-9.23736885166653,2.5263294309071e-20,2.46326476289113e-18
"CSNK1A1",7723.79311807188,0.564239721933465,0.0774576393680365,7.28449416399724,3.22879452790168e-13,5.81403862801229e-12
"ATL2",1197.23191675596,-0.645379878031488,0.112882030937914,-5.71729506166001,1.08233087173697e-08,7.61042802600093e-08
"PRRT2",136.994438591363,0.565432415684288,0.245357762030946,2.30452222503143,0.0211933462200952,0.0360796710159226
"GLYATL2",482.701943133602,-1.66419948169876,0.462818740636598,-3.59579104210362,0.000323407325857122,0.000842471923660657
"MEGF9",1929.10904761819,0.86680598875439,0.167536054697495,5.17384744626765,2.29322082049886e-07,1.18794433924544e-06
"C14orf2",1098.27376622252,-0.544407094502904,0.111120993392611,-4.89922811056426,9.62138898369022e-07,4.33275207637066e-06
"PPIF",2206.54737247292,-0.795976124084756,0.176364670876032,-4.51324020922679,6.38446419028278e-06,2.448680132188e-05
"PPIE",668.027738302476,-0.461758903148392,0.0773486154696285,-5.96984057626351,2.37485527767914e-09,1.90611097683479e-08
"C14orf1",1010.49009930662,-0.382696029419559,0.103010293667214,-3.71512414726143,0.000203103952203524,0.00055488944019406
"CCDC85B",210.244536422366,-0.946997968863745,0.182167670403919,-5.19849634550396,2.00907074179296e-07,1.05612612516856e-06
"C14orf4",1523.42379749618,0.432296136280107,0.123220338421055,3.50831804083276,0.000450949597881818,0.00113977356645255
"LOC729991",254.42987714492,-0.546184681389547,0.0939736262136038,-5.81210604928726,6.16917365112249e-09,4.57234418748454e-08
"RNMTL1",273.165812227026,-0.331935582654198,0.097573499199657,-3.40190303081151,0.000669183771959647,0.00162697931110174
"YARS",2029.15163382226,-0.419535099553262,0.0971980372346623,-4.31629188705108,1.58672135763484e-05,5.56366894793486e-05
"C21orf119",89.6077094491008,-0.458413804479756,0.13519852272287,-3.39067169705258,0.000697215664900878,0.0016898268821746
"SNTB2",810.073521970341,0.292863767835921,0.106630405598536,2.74653150001657,0.0060229101944026,0.0116519057743859
"CORO1C",2282.75001693815,-0.46858484354032,0.107524828965786,-4.35792224035457,1.31303014642501e-05,4.69913426247754e-05
"CORO1A",833.421982056939,-1.10875611954631,0.167218390283186,-6.63058720795375,3.34354063176243e-11,4.03400782180467e-10
"RING1",675.917161748918,-0.238030071181525,0.0838930796005956,-2.83730281823907,0.00454964391243249,0.00909445145320408
