"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BLNK",279.055971276396,-1.08734969763728,0.102443203989456,-10.614171124023,2.56056866310656e-26,1.57058552248237e-25
"DENND2D",825.177991432852,-0.823663029111783,0.07761798335069,-10.6117550798807,2.62766214277284e-26,1.61098820611639e-25
"PPWD1",455.453135931694,0.399890869825958,0.0376894684162168,10.6101488460871,2.67322871857503e-26,1.63816152805415e-25
"SPTB",134.838041881447,1.60364384705691,0.151147274750517,10.6098098672561,2.68294470880676e-26,1.64335045146689e-25
"CHMP4B",3508.7925364718,-0.579415411634414,0.0546310311007664,-10.6059761267491,2.79529632746449e-26,1.71137142132163e-25
"YIF1A",945.468124406406,-0.690707897091149,0.0651332091540376,-10.6045426912353,2.83849203219919e-26,1.7370093268172e-25
"ATOX1",880.624863727118,-0.805679784914681,0.0760007730910192,-10.6009419660744,2.94993846691348e-26,1.80436989033374e-25
"TP53RK",592.119334660913,-0.654476244211719,0.0617451167857556,-10.5996437982721,2.99117308625163e-26,1.82874181766513e-25
"PIGC",795.723793970859,-0.6025688041455,0.05687143112696,-10.5952811843318,3.13397737879312e-26,1.91515989958467e-25
"PDCD6",1713.07603035421,-0.641486860234897,0.0605464983842718,-10.5949456591785,3.14523616730138e-26,1.92114819815258e-25
"SLC6A9",446.582670361183,-1.65957893238175,0.156678426054142,-10.5922619608667,3.23674444283018e-26,1.97612556126965e-25
"SSR2",6299.22234831673,-0.74418568732874,0.0702722412331508,-10.5900377484712,3.31458162465022e-26,2.02270922231204e-25
"TCEB2",1662.79899134678,-0.917654537748083,0.0866580086807531,-10.5893794666885,3.33797228183459e-26,2.03603934873905e-25
"ZNF681",191.884576563141,-1.05550870023297,0.099768977524094,-10.5795280900625,3.708211862835e-26,2.26082411998597e-25
"EXOSC4",331.406604791518,-1.0721204999208,0.10134122551398,-10.5793125599502,3.7167513369455e-26,2.26498138186174e-25
"SETD7",3746.26365571517,0.915484434827683,0.0865409762801253,10.5786238401603,3.7441698484259e-26,2.28063432275938e-25
"FZD2",112.876967952422,-1.1918574817076,0.11269305824709,-10.576139295948,3.84475839433457e-26,2.34082121853034e-25
"SUV39H2",198.961284271645,-0.853781661576478,0.080738444011355,-10.5746608326562,3.90588157187821e-26,2.3769356972091e-25
"BNIP2",975.268069477557,0.652254594263648,0.0616811764379786,10.5746133898646,3.90785883845967e-26,2.3770400134309e-25
"S100A11",7400.03711630067,-1.02364726461727,0.0968101679451186,-10.5737577606267,3.94368957277934e-26,2.39772682893739e-25
"HSPA14",556.851029965967,-0.676511902112682,0.0639823340218867,-10.5734170604227,3.95804738043006e-26,2.40534522939062e-25
"TIGD5",151.211326363346,-1.04153896379148,0.0985191687834668,-10.5719422590811,4.02079852438086e-26,2.44235214473582e-25
"EMP2",5418.70685363192,-0.937339022568059,0.0887025458770797,-10.5672166824499,4.22858449808452e-26,2.56738273746709e-25
"KDELR2",5544.54560249261,-0.612109410894692,0.057940329460929,-10.5644792942963,4.35378143447275e-26,2.6421772716443e-25
"NHP2",1306.25376302553,-0.688659750041901,0.065193691569794,-10.5632881565642,4.40939998837677e-26,2.674697329355e-25
"RDH11",1644.39175999195,-0.559670766700824,0.0529966868886007,-10.5604859390032,4.54303861235859e-26,2.75449181273497e-25
"RASL12",287.650899387086,1.20408899519946,0.114042429023525,10.558254550603,4.65231911539817e-26,2.81945103664761e-25
"AKR7A3",441.238215832972,-2.51762794378909,0.238571601062402,-10.5529238709789,4.92404634910144e-26,2.98275297253669e-25
"TRPC6",131.21006513497,1.23332940545178,0.116910254892136,10.5493688863281,5.11394394426538e-26,3.09635897600576e-25
"LEPREL1",306.53587777352,1.39009493846488,0.131824186670038,10.5450674385297,5.3534436611975e-26,3.23987949022265e-25
"PEMT",463.320864884578,1.21983086665327,0.11571110777081,10.5420377537946,5.52877386785418e-26,3.34445084662521e-25
"MGAT4B",1503.32122429485,-0.628777305965411,0.0596707568488974,-10.5374447915525,5.80548385027813e-26,3.51022434181033e-25
"TOMM34",844.14678877862,-0.761525333900146,0.0722724841500478,-10.5368639649789,5.84144029557657e-26,3.53034337055438e-25
"FLJ45983",187.240672889616,-2.31580679877106,0.219908221185486,-10.5307877362972,6.23108328737515e-26,3.76410047323172e-25
